capacity,lru_hit_rate,lfu_hit_rate,smartedge_hit_rate,lru_evictions,lfu_evictions,smartedge_evictions,admissions,rejected,cache_size,avg_probability,avg_cache_value,vs_lru,vs_lfu
25,31.66,44.45,47.17,31,44,47,2264,3019,25,0.7463,2.1465,15.51,2.72
50,47.29,57.01,59.18,47,57,59,1425,2657,50,0.7463,2.1465,11.89,2.17
75,54.89,62.94,64.25,54,62,64,1041,2534,75,0.7463,2.1465,9.36,1.31
100,59.54,65.85,67.31,59,65,67,767,2502,100,0.7463,2.1465,7.77,1.46
150,66.87,70.96,70.93,66,70,70,474,2433,150,0.7463,2.1465,4.06,-0.03
200,70.95,73.94,73.05,70,73,73,354,2341,200,0.7463,2.1465,2.1,-0.89
300,76.7,79.09,74.45,76,79,74,307,2248,300,0.7463,2.1465,-2.25,-4.64
500,81.8,82.79,74.46,81,82,74,307,2247,307,0.7463,2.1465,-7.34,-8.33
750,85.28,85.48,74.46,85,85,74,307,2247,307,0.7463,2.1465,-10.82,-11.02
1000,86.43,86.46,74.46,86,86,74,307,2247,307,0.7463,2.1465,-11.97,-12.0
